Checkin ID,Location ID,Location Name,Date,Month,Day of Week,Hour,Time Slot,Member Visits,Location Capacity,Utilization %,Overcrowded,Estimated Wait Minutes,Is Weekend,Is Peak Hour
CHK0000041,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,7,07:00,89,180,49.4,No,0,No,No
CHK0000042,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,8,08:00,69,180,38.3,No,0,No,No
CHK0000043,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,9,09:00,53,180,29.4,No,0,No,No
CHK0000044,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,10,10:00,45,180,25.0,No,0,No,No
CHK0000045,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,11,11:00,40,180,22.2,No,0,No,No
CHK0000046,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,12,12:00,68,180,37.8,No,0,No,No
CHK0000047,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,13,13:00,57,180,31.7,No,0,No,No
CHK0000048,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,14,14:00,35,180,19.4,No,0,No,No
CHK0000049,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,15,15:00,38,180,21.1,No,0,No,No
CHK0000050,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,16,16:00,72,180,40.0,No,0,No,No
CHK0000051,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,17,17:00,139,180,77.2,No,0,No,Yes
CHK0000052,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,18,18:00,192,180,106.7,Yes,11,No,Yes
CHK0000053,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,19,19:00,161,180,89.4,Yes,2,No,Yes
CHK0000054,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,20,20:00,140,180,77.8,No,0,No,No
CHK0000055,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,21,21:00,54,180,30.0,No,0,No,No
CHK0000056,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,22,22:00,22,180,12.2,No,0,No,No
CHK0000057,LOC-001,Mississauga City Centre,2024-01-03,2024-01,Wednesday,23,23:00,12,180,6.7,No,0,No,No
CHK0000058,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,5,05:00,17,180,9.4,No,0,No,No
CHK0000059,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,6,06:00,44,180,24.4,No,0,No,No
CHK0000060,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,7,07:00,99,180,55.0,No,0,No,No
CHK0000061,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,8,08:00,84,180,46.7,No,0,No,No
CHK0000062,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,9,09:00,52,180,28.9,No,0,No,No
CHK0000063,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,10,10:00,34,180,18.9,No,0,No,No
CHK0000064,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,11,11:00,35,180,19.4,No,0,No,No
CHK0000065,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,12,12:00,73,180,40.6,No,0,No,No
CHK0000066,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,13,13:00,43,180,23.9,No,0,No,No
CHK0000067,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,14,14:00,34,180,18.9,No,0,No,No
CHK0000068,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,15,15:00,42,180,23.3,No,0,No,No
CHK0000069,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,16,16:00,76,180,42.2,No,0,No,No
CHK0000070,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,17,17:00,160,180,88.9,Yes,2,No,Yes
CHK0000071,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,18,18:00,194,180,107.8,Yes,11,No,Yes
CHK0000072,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,19,19:00,212,180,117.8,Yes,16,No,Yes
CHK0000073,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,20,20:00,117,180,65.0,No,0,No,No
CHK0000074,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,21,21:00,56,180,31.1,No,0,No,No
CHK0000075,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,22,22:00,24,180,13.3,No,0,No,No
CHK0000076,LOC-001,Mississauga City Centre,2024-01-04,2024-01,Thursday,23,23:00,10,180,5.6,No,0,No,No
CHK0000077,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,5,05:00,14,180,7.8,No,0,No,No
CHK0000078,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,6,06:00,33,180,18.3,No,0,No,No
CHK0000079,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,7,07:00,77,180,42.8,No,0,No,No
CHK0000080,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,8,08:00,67,180,37.2,No,0,No,No
CHK0000081,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,9,09:00,41,180,22.8,No,0,No,No
CHK0000082,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,10,10:00,34,180,18.9,No,0,No,No
CHK0000083,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,11,11:00,25,180,13.9,No,0,No,No
CHK0000084,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,12,12:00,49,180,27.2,No,0,No,No
CHK0000085,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,13,13:00,42,180,23.3,No,0,No,No
CHK0000086,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,14,14:00,30,180,16.7,No,0,No,No
CHK0000087,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,15,15:00,40,180,22.2,No,0,No,No
CHK0000088,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,16,16:00,67,180,37.2,No,0,No,No
CHK0000089,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,17,17:00,130,180,72.2,No,0,No,Yes
CHK0000090,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,18,18:00,158,180,87.8,Yes,1,No,Yes
CHK0000091,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,19,19:00,161,180,89.4,Yes,2,No,Yes
CHK0000092,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,20,20:00,104,180,57.8,No,0,No,No
CHK0000093,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,21,21:00,53,180,29.4,No,0,No,No
CHK0000094,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,22,22:00,19,180,10.6,No,0,No,No
CHK0000095,LOC-001,Mississauga City Centre,2024-01-05,2024-01,Friday,23,23:00,10,180,5.6,No,0,No,No
CHK0000096,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,5,05:00,9,180,5.0,No,0,Yes,No
CHK0000097,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,6,06:00,29,180,16.1,No,0,Yes,No
CHK0000098,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,7,07:00,55,180,30.6,No,0,Yes,No
CHK0000099,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,8,08:00,54,180,30.0,No,0,Yes,No
CHK0000100,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,9,09:00,31,180,17.2,No,0,Yes,No
CHK0000101,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,10,10:00,30,180,16.7,No,0,Yes,No
CHK0000102,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,11,11:00,23,180,12.8,No,0,Yes,No
CHK0000103,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,12,12:00,38,180,21.1,No,0,Yes,No
CHK0000104,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,13,13:00,28,180,15.6,No,0,Yes,No
CHK0000105,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,14,14:00,20,180,11.1,No,0,Yes,No
CHK0000106,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,15,15:00,30,180,16.7,No,0,Yes,No
CHK0000107,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,16,16:00,53,180,29.4,No,0,Yes,No
CHK0000108,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,17,17:00,98,180,54.4,No,0,Yes,Yes
CHK0000109,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,18,18:00,80,180,44.4,No,0,Yes,Yes
CHK0000110,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,19,19:00,111,180,61.7,No,0,Yes,Yes
CHK0000111,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,20,20:00,72,180,40.0,No,0,Yes,No
CHK0000112,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,21,21:00,34,180,18.9,No,0,Yes,No
CHK0000113,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,22,22:00,15,180,8.3,No,0,Yes,No
CHK0000114,LOC-001,Mississauga City Centre,2024-01-06,2024-01,Saturday,23,23:00,7,180,3.9,No,0,Yes,No
CHK0000115,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,5,05:00,7,180,3.9,No,0,Yes,No
CHK0000116,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,6,06:00,15,180,8.3,No,0,Yes,No
CHK0000117,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,7,07:00,36,180,20.0,No,0,Yes,No
CHK0000118,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,8,08:00,35,180,19.4,No,0,Yes,No
CHK0000119,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,9,09:00,21,180,11.7,No,0,Yes,No
CHK0000120,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,10,10:00,17,180,9.4,No,0,Yes,No
CHK0000121,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,11,11:00,16,180,8.9,No,0,Yes,No
CHK0000122,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,12,12:00,24,180,13.3,No,0,Yes,No
CHK0000123,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,13,13:00,23,180,12.8,No,0,Yes,No
CHK0000124,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,14,14:00,12,180,6.7,No,0,Yes,No
CHK0000125,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,15,15:00,19,180,10.6,No,0,Yes,No
CHK0000126,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,16,16:00,34,180,18.9,No,0,Yes,No
CHK0000127,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,17,17:00,80,180,44.4,No,0,Yes,Yes
CHK0000128,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,18,18:00,80,180,44.4,No,0,Yes,Yes
CHK0000129,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,19,19:00,82,180,45.6,No,0,Yes,Yes
CHK0000130,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,20,20:00,39,180,21.7,No,0,Yes,No
CHK0000131,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,21,21:00,25,180,13.9,No,0,Yes,No
CHK0000132,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,22,22:00,11,180,6.1,No,0,Yes,No
CHK0000133,LOC-001,Mississauga City Centre,2024-01-07,2024-01,Sunday,23,23:00,5,180,2.8,No,0,Yes,No
CHK0000134,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,5,05:00,13,180,7.2,No,0,No,No
CHK0000135,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,6,06:00,50,180,27.8,No,0,No,No
CHK0000136,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,7,07:00,106,180,58.9,No,0,No,No
CHK0000137,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,8,08:00,93,180,51.7,No,0,No,No
CHK0000138,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,9,09:00,62,180,34.4,No,0,No,No
CHK0000139,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,10,10:00,45,180,25.0,No,0,No,No
CHK0000140,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,11,11:00,38,180,21.1,No,0,No,No
CHK0000141,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,12,12:00,61,180,33.9,No,0,No,No
CHK0000142,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,13,13:00,59,180,32.8,No,0,No,No
CHK0000143,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,14,14:00,36,180,20.0,No,0,No,No
CHK0000144,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,15,15:00,56,180,31.1,No,0,No,No
CHK0000145,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,16,16:00,80,180,44.4,No,0,No,No
CHK0000146,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,17,17:00,167,180,92.8,Yes,4,No,Yes
CHK0000147,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,18,18:00,161,180,89.4,Yes,2,No,Yes
CHK0000148,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,19,19:00,173,180,96.1,Yes,6,No,Yes
CHK0000149,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,20,20:00,123,180,68.3,No,0,No,No
CHK0000150,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,21,21:00,72,180,40.0,No,0,No,No
CHK0000151,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,22,22:00,34,180,18.9,No,0,No,No
CHK0000152,LOC-001,Mississauga City Centre,2024-01-08,2024-01,Monday,23,23:00,12,180,6.7,No,0,No,No
CHK0000153,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,5,05:00,13,180,7.2,No,0,No,No
CHK0000154,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,6,06:00,45,180,25.0,No,0,No,No
CHK0000155,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,7,07:00,100,180,55.6,No,0,No,No
CHK0000156,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,8,08:00,79,180,43.9,No,0,No,No
CHK0000157,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,9,09:00,50,180,27.8,No,0,No,No
CHK0000158,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,10,10:00,49,180,27.2,No,0,No,No
CHK0000159,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,11,11:00,40,180,22.2,No,0,No,No
CHK0000160,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,12,12:00,75,180,41.7,No,0,No,No
CHK0000161,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,13,13:00,63,180,35.0,No,0,No,No
CHK0000162,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,14,14:00,38,180,21.1,No,0,No,No
CHK0000163,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,15,15:00,45,180,25.0,No,0,No,No
CHK0000164,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,16,16:00,104,180,57.8,No,0,No,No
CHK0000165,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,17,17:00,158,180,87.8,Yes,1,No,Yes
CHK0000166,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,18,18:00,183,180,101.7,Yes,8,No,Yes
CHK0000167,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,19,19:00,176,180,97.8,Yes,6,No,Yes
CHK0000168,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,20,20:00,135,180,75.0,No,0,No,No
CHK0000169,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,21,21:00,64,180,35.6,No,0,No,No
CHK0000170,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,22,22:00,29,180,16.1,No,0,No,No
CHK0000171,LOC-001,Mississauga City Centre,2024-01-09,2024-01,Tuesday,23,23:00,13,180,7.2,No,0,No,No
CHK0000172,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,5,05:00,14,180,7.8,No,0,No,No
CHK0000173,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,6,06:00,32,180,17.8,No,0,No,No
CHK0000174,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,7,07:00,93,180,51.7,No,0,No,No
CHK0000175,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,8,08:00,73,180,40.6,No,0,No,No
CHK0000176,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,9,09:00,49,180,27.2,No,0,No,No
CHK0000177,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,10,10:00,45,180,25.0,No,0,No,No
CHK0000178,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,11,11:00,40,180,22.2,No,0,No,No
CHK0000179,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,12,12:00,58,180,32.2,No,0,No,No
CHK0000180,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,13,13:00,56,180,31.1,No,0,No,No
CHK0000181,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,14,14:00,33,180,18.3,No,0,No,No
CHK0000182,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,15,15:00,34,180,18.9,No,0,No,No
CHK0000183,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,16,16:00,83,180,46.1,No,0,No,No
CHK0000184,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,17,17:00,146,180,81.1,No,0,No,Yes
CHK0000185,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,18,18:00,165,180,91.7,Yes,3,No,Yes
CHK0000186,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,19,19:00,176,180,97.8,Yes,6,No,Yes
CHK0000187,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,20,20:00,116,180,64.4,No,0,No,No
CHK0000188,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,21,21:00,56,180,31.1,No,0,No,No
CHK0000189,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,22,22:00,27,180,15.0,No,0,No,No
CHK0000190,LOC-001,Mississauga City Centre,2024-01-10,2024-01,Wednesday,23,23:00,12,180,6.7,No,0,No,No
CHK0000191,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,5,05:00,13,180,7.2,No,0,No,No
CHK0000192,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,6,06:00,43,180,23.9,No,0,No,No
CHK0000193,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,7,07:00,90,180,50.0,No,0,No,No
CHK0000194,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,8,08:00,91,180,50.6,No,0,No,No
CHK0000195,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,9,09:00,41,180,22.8,No,0,No,No
CHK0000196,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,10,10:00,45,180,25.0,No,0,No,No
CHK0000197,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,11,11:00,36,180,20.0,No,0,No,No
CHK0000198,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,12,12:00,65,180,36.1,No,0,No,No
CHK0000199,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,13,13:00,64,180,35.6,No,0,No,No
CHK0000200,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,14,14:00,33,180,18.3,No,0,No,No
CHK0000201,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,15,15:00,52,180,28.9,No,0,No,No
CHK0000202,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,16,16:00,75,180,41.7,No,0,No,No
CHK0000203,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,17,17:00,153,180,85.0,No,0,No,Yes
CHK0000204,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,18,18:00,170,180,94.4,Yes,5,No,Yes
CHK0000205,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,19,19:00,152,180,84.4,No,0,No,Yes
CHK0000206,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,20,20:00,110,180,61.1,No,0,No,No
CHK0000207,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,21,21:00,58,180,32.2,No,0,No,No
CHK0000208,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,22,22:00,27,180,15.0,No,0,No,No
CHK0000209,LOC-001,Mississauga City Centre,2024-01-11,2024-01,Thursday,23,23:00,8,180,4.4,No,0,No,No
CHK0000210,LOC-001,Mississauga City Centre,2024-01-12,2024-01,Friday,5,05:00,16,180,8.9,No,0,No,No
CHK0000211,LOC-001,Mississauga City Centre,2024-01-12,2024-01,Friday,6,06:00,34,180,18.9,No,0,No,No
CHK0000212,LOC-001,Mississauga City Centre,2024-01-12,2024-01,Friday,7,07:00,94,180,52.2,No,0,No,No
CHK0000213,LOC-001,Mississauga City Centre,2024-01-12,2024-01,Friday,8,08:00,54,180,30.0,No,0,No,No
CHK0000214,LOC-001,Mississauga City Centre,2024-01-12,2024-01,Friday,9,09:00,46,180,25.6,No,0,No,No
CHK0000215,LOC-001,Mississauga City Centre,2024-01-12,2024-01,Friday,10,10:00,49,180,27.2,No,0,No,No
CHK0000216,LOC-001,Mississauga City Centre,2024-01-12,2024-01,Friday,11,11:00,29,180,16.1,No,0,No,No
CHK0000217,LOC-001,Mississauga City Centre,2024-01-12,2024-01,Friday,12,12:00,46,180,25.6,No,0,No,No
CHK0000218,LOC-001,Mississauga City Centre,2024-01-12,2024-01,Friday,13,13:00,42,180,23.3,No,0,No,No
CHK0000219,LOC-001,Mississauga City Centre,2024-01-12,2024-01,Friday,14,14:00,30,180,16.7,No,0,No,No
